Alter;Zivilstand;Säule 3a;lebensversicherung;pensionskasse;totalVermoegen;totalLohn;schaetzungObjekt;score
64;68;100000;0;109368.5569;372218.1055;68040;507984.5702;75
72;51;130000;45000;207181.9836;638091.8683;109200;712664.4166;85
82;63;130000;0;80878.81724;517075.4024;68040;1593038.547;50
30;51;20000;0;200101.5673;557973.2439;171759.3893;1088717.334;75
87;51;130000;0;0;418718.7791;109200;541307.2816;90
42;63;40000;70000;0;484612.0328;109200;1150048.064;70
80;63;130000;0;178562.9138;365922.7973;109200;1249016.934;50
59;41;80000;0;44591.95679;96454.46754;38880;748687.1035;5
63;68;100000;0;0;301670.8329;68040;1100611.345;50
51;51;80000;0;42680.65368;374690.2945;123782.283;285079.7598;100
68;68;100000;0;0;139898.2738;109200;1858838.825;35
50;68;80000;0;656325.9376;860607.0312;171566.1486;556295.3465;100
57;68;80000;0;40864.84751;342717.8051;67200;1416262.657;45
28;68;0;0;651878.5085;921841.7541;175329.8167;700770.8296;100
77;63;130000;0;64179.40313;396451.7732;68040;1628276.001;45
71;63;130000;38000;39792.55325;376874.4484;67200;1227648.937;50
74;51;130000;0;79234.4963;280123.4434;68040;210021.2693;100
55;41;80000;0;78811.58126;429636.3316;68040;384677.3205;85
44;68;40000;0;944486.6009;1290459.959;109200;1396369.57;60
28;68;0;0;51333.24521;173490.9145;38880;69383.20773;100
60;41;100000;41000;153576.8206;489634.3027;109200;1252277.228;55
51;41;80000;27000;30531.05502;230787.4117;67200;576273.4384;70
41;68;40000;0;0;198745.5358;68040;311576.909;100
68;63;100000;50000;606844.8783;812125.6259;160824.4448;68959.95004;100
63;63;100000;0;0;374591.9446;109200;1186151.82;65
59;41;80000;82000;0;396811.2545;109200;1514757.74;50
62;51;100000;0;0;286790.9788;109200;293424.5083;100
26;68;0;0;0;304397.6541;109200;375639.6765;100
90;63;130000;47000;148849.7219;394053.5732;168484.5608;1361335.875;60
72;41;130000;52000;592304.7866;953875.3823;109200;347322.2395;100
30;41;20000;0;36989.03583;290527.1008;38880;1535438.319;0
61;68;100000;0;581423.5919;809690.2688;109200;524022.281;90
29;41;0;0;0;187634.1505;167917.0268;1548118.885;20
84;41;130000;78000;0;351803.4205;109200;1815986.557;10
37;63;20000;0;0;169599.8492;109200;1688374.043;10
40;63;40000;0;140326.6197;366796.6327;109200;106047.7118;100
59;63;80000;25000;28045.54242;83182.9343;114431.2382;69189.18903;100
87;51;130000;80000;0;375738.3938;109200;226227.5919;100
75;68;130000;0;0;312773.3046;68040;1170591.298;45
56;51;80000;0;54921.9294;214520.4582;68040;932646.3981;50
69;68;100000;68000;0;437852.706;157730.8314;1154449.942;70
34;41;20000;0;135948.0848;287564.3529;109200;1032710.137;60
87;51;130000;0;0;310142.9378;68040;1658432.563;5
53;68;80000;0;0;203900.1018;109200;1179591.974;20
81;63;130000;62000;793884.5101;982881.1905;157590.296;593148.8371;100
84;63;130000;0;0;208093.7237;68040;1634971.149;5
65;63;100000;0;52390.169;244582.0036;68040;1931697.81;5
60;63;100000;37000;32691.24704;131849.1206;115771.0628;801270.8091;20
34;51;20000;0;518095.4759;726487.2603;109200;1893164.449;50
71;51;130000;0;516572.9817;779199.0417;109200;262190.0239;100
48;63;40000;0;516371.0739;668409.1583;109200;1889706.826;50
88;63;130000;0;51486.35864;242915.4638;68040;1119465.918;50
67;68;100000;53000;510709.4694;868665.9449;109200;794023.2424;75
70;41;130000;0;63729.03272;257733.9433;68040;1402999.715;5
71;41;130000;0;125531.0735;357127.8988;68040;795019.2468;60
39;68;20000;0;41295.0385;153365.0747;38880;1376393.996;0
41;68;40000;0;0;288350.4476;68040;804116.4213;55
27;63;0;68000;0;325306.2421;170215.2458;271116.568;100
25;41;0;0;40940.10819;118600.323;38880;1060436.594;5
51;51;80000;0;488322.2573;672639.2125;173555.3665;1134381.093;75
29;68;0;0;482460.1092;716902.2192;109200;1305381.708;60
26;51;0;0;0;341459.1544;161676.7645;1336120.147;60
61;63;100000;0;474758.9628;730199.2108;109200;1886303.802;50
57;68;80000;0;0;312764.6057;68040;212335.7546;100
32;68;20000;0;0;322158.6011;109200;560163.3659;90
42;68;40000;0;47212.73399;291618.1817;68040;844017.1675;55
32;41;20000;81000;0;374042.775;109200;1885097.283;5
48;63;40000;87000;0;383429.6641;109200;207528.1927;100
39;41;20000;0;0;228408.679;109200;1046751.312;60
35;63;20000;26000;22754.39783;76481.80099;113995.579;688412.0123;25
35;51;20000;0;28379.73057;206172.4133;67200;171690.7878;100
78;41;130000;0;0;298281.996;68040;1203454.864;45
41;63;40000;35000;28098.86723;305309.4558;67200;218056.6544;100
68;41;100000;0;0;192947.7518;109200;211987.098;100
43;41;40000;0;110322.5031;352608.4768;68040;854260.8646;60
30;51;20000;0;21846.76759;209174.3688;67200;516225.2897;75
34;63;20000;0;0;287177.7076;109200;1734774.022;10
61;51;100000;0;0;146881.6562;68040;243107.9863;100
